id,name,sku,cat,uzanti
2333452,NORM-100,KAPILAR_0083_NORM-100,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0083_NORM-100.png
2333453,AYKA-28,KAPILAR_0084_AYKA-28,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0084_AYKA-28.png
2333454,NORM-99,KAPILAR_0084_NORM-99,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0084_NORM-99.png
2333455,AYKA-27,KAPILAR_0085_AYKA-27,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0085_AYKA-27.png
2333456,NORM-98,KAPILAR_0085_NORM-98,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0085_NORM-98.png
2333457,AYKA-26,KAPILAR_0086_AYKA-26,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0086_AYKA-26.png
2333458,NORM-97,KAPILAR_0086_NORM-97,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0086_NORM-97.png
2333459,AYKA-25,KAPILAR_0087_AYKA-25,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0087_AYKA-25.png
2333460,NORM-96,KAPILAR_0087_NORM-96,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0087_NORM-96.png
2333461,AYKA-24,KAPILAR_0088_AYKA-24,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0088_AYKA-24.png
2333462,NORM-95,KAPILAR_0088_NORM-95,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0088_NORM-95.png
2333463,AYKA-23,KAPILAR_0089_AYKA-23,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0089_AYKA-23.png
2333464,NORM-94,KAPILAR_0089_NORM-94,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0089_NORM-94.png
2333465,AYKA-22,KAPILAR_0090_AYKA-22,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0090_AYKA-22.png
2333466,NORM-93,KAPILAR_0090_NORM-93,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0090_NORM-93.png
2333467,AYKA-21,KAPILAR_0091_AYKA-21,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0091_AYKA-21.png
2333468,NORM-92,KAPILAR_0091_NORM-92,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0091_NORM-92.png
2333469,AYKA-20,KAPILAR_0092_AYKA-20,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0092_AYKA-20.png
2333470,NORM-91,KAPILAR_0092_NORM-91,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0092_NORM-91.png
2333471,AYKA-19,KAPILAR_0093_AYKA-19,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0093_AYKA-19.png
2333472,NORM-90,KAPILAR_0093_NORM-90,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0093_NORM-90.png
2333473,AYKA-18,KAPILAR_0094_AYKA-18,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0094_AYKA-18.png
